Voltage,Pitch_Current,Yaw_Current
12.89,0,0
12.89,0,0
12.91,0,0
12.89,0,0
12.91,0,0
12.89,0,0
12.89,0.63,0
12.43,1.35,1.13
12.18,1.61,1.44
11.92,2.03,1.81
11.75,2.06,2.22
11.47,2.27,2.32
11.39,2.5,2.64
10.63,3.38,2.89
11.01,3.41,3.29
9.9,3.47,4.16
10.46,4.54,4.53
10.18,5.52,5.62
9.82,6.06,5.81
9.54,7.41,7.93
9.14,6.77,7.22
8.78,6.44,6.97
9.01,5.71,6.06
9.52,5.98,5.98
7.21,4.77,4.84
8.25,4.86,4.69
8.83,4.56,4.65
9.42,4.82,4.54
8.3,3.98,4.36
8.76,3.05,2.99
7.29,3.65,3.91
7.92,3.2,3.48
7.14,4.47,4.23
8.35,4.77,5.09
8.18,5.13,4.71
8.23,5.26,5.53
7.24,5.3,5.37
8.53,5.71,6.24
6.56,6.03,6.06
8.76,6.08,6.37
6.33,6.9,6.84
8.13,7.5,8.13
8.25,6.86,7.1
8.18,7.61,7.91
7.27,7.56,7.77
7.49,7.85,8.32
8.46,6.72,7.52
8.4,7.24,7.36
7.11,6.89,6.69
7.59,6.68,7.01
7.19,7.3,7.41
7.54,6.7,6.95
8.38,7.01,7.13
8.94,6.54,6.93
8.43,6.35,7.2
8.66,6.68,6.62
7.72,6.93,7.36
7.75,6.63,6.9
8.53,8.88,8.87
8.99,8.52,8.59
9.29,8.38,8.5
8.99,8.47,8.85
8.81,8.4,8.35
9.49,8.56,8.81
9.16,8.78,8.9
9.11,8.32,9.69
10.25,9.4,9.69
10.13,9.73,9.69
9.95,9.21,9.61
10.18,9.37,10.01
9.97,9.48,9.59
9.92,9.17,9.78
10,9.12,8.92
10.33,9.37,9.29
10.18,8.67,9.89
9.29,9,8.96
10.1,9.3,9.23
9.95,8.67,9.57
10.08,9.06,9.4
9.39,9.14,9.45
9.59,8.87,9.21
10.63,9.59,9.4
9.82,8.74,8.97
9.37,8.37,9.24
10.28,8.8,8.91
8.33,4.73,4.8
8.28,5.25,5.43
6.53,4.98,5.03
8.3,5.49,5.79
8.15,5.37,5.71
7.09,6.07,6.23
7.7,5.97,6.5
8.35,6.4,6.71
7.95,6.39,6.46
7.01,6.01,6.54
8.58,5.98,6.97
7.7,6.03,6.42
7.97,6.58,6.83
8.73,6.51,6.11
8.96,6.93,7.09
7.52,6.14,6.37
8.25,6.67,7.23
7.47,7.15,7.31
7.8,7.13,7.4
7.7,7.3,7.63
7.59,7.33,7.56
7.34,7.06,7.25
8.1,6.97,7.56
8.66,7.32,7.25
8.68,7.11,7.15
8.1,6.63,6.93
