V,I_pitch,I_yaw
15.92,0,0
15.9,0,1
13.97,2.85,3.17
11.59,7.89,5.74
7.44,10.13,7.45
8.51,8.36,7.23
9.44,7.57,6.39
10.28,8.05,5.64
10,7.79,4.73
10.05,7.83,4.02
10.71,7.14,7.5
12.76,0.76,7.18
13.09,0.87,6.87
12.4,0.87,7.23
11.97,0.85,7.48
12.43,0.91,6.29
13.11,2.05,3.49
9.85,9.93,4.07
10.08,9.09,4.97
9.54,8.15,5.72
10,7.33,5.24
10.63,7.7,4.51
9.67,6.55,7.13
12.68,0.69,6.64
12.78,0.78,6.75
12.76,0.62,7.51
12.1,0.71,5.24
11.27,4.88,5.59
11.67,5.54,3.83
11.11,9.18,3.74
10.43,8.93,3.62
10.43,8.33,3.3
9.95,8.15,4.56
13.64,0.94,3.79
13.87,0.96,3.72
13.77,1.03,3.66
13.82,1.01,3.63
11.97,4.28,4.1
12.56,3.86,2.5
10.53,9.56,2.67
11.16,7.96,3.33
12.76,5.43,2.68
12.3,5.41,3.74
13.75,0.93,4.04
13.85,0.99,3.71
13.57,1.98,3.59
13.67,2.01,2.95
11.24,7.77,3.26
11.57,7.33,3.61
11.34,5.44,3.16
12.15,5.42,3.28
13.09,3.8,2.81
13.29,3.99,2.88
11.21,5.45,3.34
11.67,5.15,3.52
12.66,5.27,3.38
11.8,5.29,2.98
12.1,5.29,2.85
12.76,5.42,3.03
11.82,5.14,3.56
12.48,4.97,3.38
12.83,3.57,2.81
13.06,3.86,2.97
12.18,5.22,3.43
12.08,4.98,3.11
12.48,5.14,2.7
12.15,4.97,3.03
11.87,4.92,3.77
12.02,4.91,3.55
12.1,5.41,3.67
12.4,5.04,3.21
12.68,5.07,2.71
12.58,5.17,3.1
12.61,5.09,3.57
12.3,4.97,3.12
11.57,5.04,2.81
12.38,5.25,3.15
11.92,5.02,3.37
11.97,4.99,3.26
12.13,4.9,3.31
12.38,4.84,3.79
11.75,4.78,4.21
11.44,4.79,3.87
11.82,5.09,3.53
12.28,4.84,3.01
11.57,5.05,2.59
12.58,5.1,3.03
12.18,4.89,3.28
12.13,5.1,3.27
12.28,4.91,3.41
12.05,5.08,3.41
11.77,5.11,3.37
12.43,4.97,3.72
12.33,5.19,4.2
12.1,4.67,3.81
12.45,4.92,3.29
12.48,5.09,3.15
12.28,4.91,3.4
12.33,5.06,3.7
11.9,4.66,4.22
12.15,4.9,3.84
12.35,4.77,3.28
12.18,5.01,3.39
12.61,5.31,3.39
12.25,5.14,3.31
12.48,5.1,3.44
11.77,4.83,3.96
12.15,4.76,4.48
11.16,4.79,3.61
12.08,5.04,3.57
11.37,5.11,3.35
11.87,5.28,2.7
12.25,5.17,3.19
12.2,5.53,3.54
12.43,5.11,4.03
12,4.76,4.12
12.23,5.12,4.14
11.75,4.9,3.64
12.28,4.81,3.68
12.33,4.93,3.72
11.85,4.96,3.75
12.28,4.76,3.66
12.43,5.04,3.38
12.43,5.08,2.81
12.25,5.05,3.3
12.43,4.98,3.47
12.3,5.35,4.07
12.08,4.71,4.15
12.1,4.45,3.86
12.25,4.86,3.51
12.3,4.99,3
12.33,5.05,2.86
11.82,5.51,3.21
12.35,4.93,3.2
12.23,4.94,3.2
12.08,4.56,2.98
12.68,4.57,3.03
12.81,4.43,3.12
12.15,4.03,3.15
12.56,3.8,3.24
12.89,3.9,3.16
12.53,4,3.11
12.61,4.1,3.09
12.48,4.09,3.16
12.81,3.97,3.17
12.78,4.13,3.22
12.4,3.86,3.08
12.38,3.95,3.03
12.89,4.02,3.12
12.1,4.07,3
13.09,4.11,3.12
12.51,4.03,3.18
12.96,4.21,3.06
12.71,4.07,3.11
12.76,4.09,3.12
13.01,3.89,3.01
12.91,3.95,3.14
12.99,3.93,3
12.28,4.07,2.94
12.94,3.87,2.96
12.91,3.97,3.03
