Pitch_Angle,Yaw_Angle
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-0.25
0,-0.25
0,-0.25
0,-0.5
0,-0.5
0,-0.5
0,-0.75
0,-1
0,-1.25
0,-1.5
0,-1.75
0.25,-2
0.25,-2.25
0.5,-2.5
0.75,-2.75
1,-3
1.25,-3.5
1.75,-3.75
2,-4
2.5,-4.5
3,-4.75
3.5,-5.25
4.25,-5.5
4.75,-6
5.5,-6.25
6.25,-6.75
7,-7.25
8,-7.5
8.75,-8
9.75,-8.5
10.75,-8.75
12,-9.25
13,-9.75
14.25,-10
15.5,-10.5
16.5,-10.75
17.75,-11.25
19,-11.5
20.5,-12
21.75,-12.25
23,-12.5
24.25,-13
25.5,-13.25
26.5,-13.5
27.75,-13.75
28.75,-14
29.75,-14
30.75,-14.25
31.5,-14.5
32.5,-14.5
33.25,-14.5
33.75,-14.75
34.25,-14.75
34.75,-14.75
35.25,-14.75
35.5,-14.75
35.75,-14.75
35.75,-14.75
36,-14.75
35.75,-14.5
35.75,-14.5
35.5,-14.25
35.5,-14.5
35.25,-14.25
35,-14.25
34.75,-14.25
34.5,-14.25
34.25,-14.25
34,-14.25
34,-14.25
33.75,-14.25
33.75,-14.25
33.75,-14.25
33.75,-14.25
33.75,-14.5
33.75,-14.5
33.75,-14.5
34,-14.5
34,-14.75
34.25,-14.75
34.5,-14.75
34.75,-15
35,-15
35.25,-15
35.5,-15.25
35.75,-15.25
36.25,-15.25
36.75,-15.5
37,-15.5
37.5,-15.5
38,-15.75
38.5,-15.75
39,-15.75
39.5,-16
40,-16
40.75,-16
41.25,-16.25
41.75,-16.25
42.5,-16.25
43,-16.25
43.75,-16.5
44.25,-16.5
44.75,-16.5
45.25,-16.5
45.5,-16.5
46,-16.5
46.25,-16.25
46.75,-16.25
46.75,-16
47,-16
47,-15.75
47,-15.75
47,-15.5
47,-15.25
46.75,-15
46.75,-14.75
46.5,-14.5
46.25,-14.25
46.25,-14
46,-13.75
45.75,-13.5
45.75,-13.25
45.5,-13.25
45.5,-13
45.5,-12.75
45.5,-12.75
45.5,-12.5
45.75,-12.25
45.75,-12.25
45.75,-12
46,-12
46.25,-12
46.5,-11.75
46.75,-11.75
47,-11.75
47.25,-11.75
47.5,-11.75
47.75,-11.75
48,-11.75
48.5,-11.75
48.75,-11.75
49.25,-11.75
49.75,-11.75
50,-12
50.5,-12
51,-12
51.25,-12
51.75,-12
52,-12
52.25,-12
52.5,-12
52.75,-12
53,-12
53,-12
53,-11.75
53,-11.75
