pitch_angle,yaw_angle
0,0.25
0,0.25
0,0.25
0,0.25
0,0
0,0
0.5,0
2,0.25
4.75,0.25
9,0.25
14.75,0.25
21.75,0
28.5,0.25
34,0.25
37.5,0.25
39,0
38.5,0.25
37.25,0.25
36.25,0
36.25,0.25
37,0.25
38.75,0
41.25,0.25
44.5,0.25
47.25,0
48.75,0.25
48.5,0
47.5,0
46.5,1.25
46,2.25
46.5,2
47.75,2
50,2.25
52.75,2
55.25,2.25
56,2
55.75,2
55,2
54.75,2
54.75,2
55,2.25
55.75,2.25
56.5,2.25
57.25,2.25
57.25,2.25
57,2
57,2
57,2
57,2
57.25,2
57.25,2.25
57.25,2.25
57.25,2
57.25,2
57.25,2
57.25,2.25
57.25,2.25
57.25,2
57.25,2
57.25,2
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2.25
57.5,2.25
57.5,2.25
57.5,2
57.5,2
57.5,2
57.5,2.25
57.5,2.25
0,0
0,0
0,0
0,-0.25
0,-0.25
0,-0.25
0.5,-0.75
2.25,-1.5
5.75,-2.5
11.25,-3.75
18.5,-5
27,-6.25
35.75,-7
43.25,-7
48.5,-6.5
51.25,-5.75
51.5,-4.5
50.25,-3
47.75,-1.5
44.75,-0.25
42.25,0.75
41,1
41.75,1
44,0.25
47.5,-0.75
52.25,-2
56.75,-3
59.75,-3.5
60.5,-3.75
59.75,-3.5
58.5,-2.75
56.75,-2.25
56,-1.75
56.25,-2
57.25,-2.5
58.75,-3.25
59.75,-3.75
59.75,-4
59.25,-4
58.25,-4
58.25,-4.5
58.5,-5.25
58.75,-6.5
59.5,-7.75
59.5,-8.5
59.25,-9.25
59,-9.25
58.25,-9
58,-8.75
58.25,-8.5
58.75,-8.25
59,-8.25
59,-8
59,-7.5
58.75,-6.75
58.75,-6
58.75,-5.5
59,-5
59,-4.75
58.75,-4.5
58.75,-4.5
58.75,-4.25
59,-4.5
59,-4.75
58.75,-4.75
58.75,-5
59,-5.25
59,-5.75
58.75,-6
58.75,-6.5
59,-7
59,-7.5
58.75,-8
58.75,-8.25
59,-9
59,-9.75
59,-10
58.75,-10.5
59,-10.75
59,-10.75
59,-10.75
59,-10.25
59,-9.75
59,-9.25
59,-8.5
59,-8
59,-7.75
59,-7.5
59,-7
59,-7
59,-6.75
59,-6.5
59,-6.25
59,-5.75
59,-5.5
59,-5.25
59,-5
59,-4.75
59,-5
59,-5.25
59,-5.5
59,-6
59,-6.5
59,-7
59,-7.5
59,-8
59,-8.5
59,-9
59,-9.25
59,-9.25
59,-9.25
59,-9
59,-8.75
59,-8.5
59,-8.25
59,-8
59,-7.75
59,-7.75
59,-7.5
59,-7.75
59,-8.25
59,-8.5
59,-9.25
59,-9.75
59,-10
59,-10.5
59,-10.75
59,-11
59,-11.25
59,-11.25
59,-11.5
59,-11.5
59,-11.75
59,-11.75
59,-11.75
59,-12
59,-12
59,-12.25
59,-12.25
59,-12.25
59,-12.25
59,-12.5
59,-12.75
59,-13
59,-13
59,-13.25
59,-13.5
59,-13.5
59,-13.5
59,-13.5
59,-13.5
59,-13.5
59,-13.5
59,-13.5
59,-13.25
59,-13.25
59,-13
59,-13
59,-12.75
59,-12.75
59,-12.75
59,-12.75
59,-12.75
59,-12.75
59,-13
59,-13
59,-13.25
59,-13.5
59,-13.75
59,-14
59,-14.25
59,-14.25
59,-14
59,-13.75
59,-13.5
59,-13.25
59,-13
59,-13
59,-13
59,-13.25
59,-13.5
59,-13.75
59,-14
59,-14.25
59,-14.5
59,-14.75
59,-15
59,-15
59,-15
59,-15
59,-15
59,-15
59,-14.75
59,-14.75
59,-14.5
59,-14.5
59,-14.5
59,-14.5
59,-14.5
59,-14.5
59,-14.75
59,-14.75
59,-15
59,-15
